towerid;Latitudine;Longitudine;active;eNb;seNb;status;type;Nomesito;contributo;Bande
EBVQXOAVNG;44.0340955;8.205034;Attivo;108008;Non presente;Non verificato;0;Vigo-peirano;SYSTEM;~B20~
SSGGJKWPCY;44.2647815;8.4173155;Attivo;108009;Non presente;Non verificato;0;Valle di Vado;SYSTEM;~B20~
GDKSVTYFRI;44.303485;8.4649395;Attivo;108010;Non presente;Non verificato;0;   Savona;SYSTEM;~B20~
HXNTCNIAOM;44.3126046;8.4741005;Attivo;108011;Non presente;Non verificato;0;Savona;SYSTEM;~B20~~B7~
BLBWWJYFVS;44.3106996;8.47109733;Attivo;108012;Non presente;Non verificato;0;   Savona;SYSTEM;~B20~
RJSNSYSDPC;44.3187956;8.47103266;Attivo;108013;Non presente;Non verificato;0;Savona;SYSTEM;~B20~
BVAPXWXDMP;44.3728693;8.570325;Attivo;108014;Non presente;Non verificato;0;Varazze;SYSTEM;~B20~
UFJMRFPVDU;44.329776;8.502025;Attivo;108016;Non presente;Non verificato;0;Albissola Marina;SYSTEM;~B20~
AOPAORGWXD;44.353699;8.563187;Attivo;108017;Non presente;Non verificato;0;Varazze;SYSTEM;~B20~
ULYLEYRPLY;44.4035296;8.29132;Attivo;108019;Non presente;Non verificato;0;Cairo Montenotte;SYSTEM;~B20~
KCHPQICUTH;44.3327256;8.36165466;Attivo;108024;Non presente;Non verificato;0;Quiliano;SYSTEM;~B20~
KUEHLCJMGH;44.3480486;8.311481;Attivo;108025;Non presente;Non verificato;0;Cairo Montenotte;SYSTEM;~B20~
WVVEKOEFTY;44.3657633;8.31222066;Attivo;108027;Non presente;Non verificato;0;Cairo Montenotte;SYSTEM;~B20~
HCYQJERBPI;44.225262;8.410815;Attivo;108031;Non presente;Non verificato;0;Spotorno;SYSTEM;~B20~
XRXAEYVJLQ;44.180617;8.385657;Attivo;108033;Non presente;Non verificato;0;Varigotti;SYSTEM;~B20~
YEGOPOVFXU;44.17282;8.34909933;Attivo;108034;Non presente;Non verificato;0;Finale Ligure;SYSTEM;~B20~
HHPYAQVNQE;44.183592;8.30677733;Attivo;108035;Non presente;Non verificato;0;Finale ligure;SYSTEM;~B20~
DPKQKFGGBX;44.1567586;8.28873633;Attivo;108037;Non presente;Non verificato;0;Pietra Ligure;SYSTEM;~B20~
SINTEPKCXB;44.1452106;8.26973833;Attivo;108038;Non presente;Non verificato;0;Pietra Ligure;SYSTEM;~B20~
JOMSJYDLJH;44.1134386;8.23992;Attivo;108040;Non presente;Non verificato;0;Borghetto Santo Spirito;SYSTEM;~B20~
TEIYUBAOAL;44.0925532;8.226216;Attivo;108041;Non presente;Non verificato;0;Ceriale;SYSTEM;~B20~
LXRPVYWEBK;44.052089;8.213659;Attivo;108042;Non presente;Non verificato;0;Albenga;SYSTEM;~B20~
YOKXMNJDUR;44.0535546;8.20754466;Attivo;108043;Non presente;Non verificato;0;Albenga;SYSTEM;~B20~
DUMPVOCAQI;44.0049545;8.1636685;Attivo;108045;Non presente;Non verificato;0;Alassio;SYSTEM;~B20~
PSJILIAGKE;43.9876813;8.16501733;Attivo;108046;Non presente;Non verificato;0;Alassio;SYSTEM;~B20~
LJMLSPICAL;43.9539972;8.1416395;Attivo;108047;Non presente;Non verificato;0;Marina di Andora;SYSTEM;~B20~
OVOMPLYUYC;44.125785;8.24219933;Attivo;108048;Non presente;Non verificato;0;Loano;SYSTEM;~B20~
AWGXVAVNWS;44.0638543;8.177246;Attivo;108054;Non presente;Non verificato;0;Albenga;SYSTEM;~B20~
PMDXRQAKXX;44.0751546;8.18204433;Attivo;108055;Non presente;Non verificato;0;Albenga;SYSTEM;~B20~
PLXFJVAEWH;44.339554;8.5019675;Attivo;108070;Non presente;Non verificato;0;Albisola Superiore;SYSTEM;~B20~
AKPYODJIYQ;44.356854;8.27599433;Attivo;108072;Non presente;Non verificato;0;Carcare;SYSTEM;~B20~
PVNPKWMGCY;44.3609035;8.222316;Attivo;108073;Non presente;Non verificato;0;Millesimo;SYSTEM;~B20~
LQEFIKWSPA;44.364504;8.16664233;Attivo;108076;Non presente;Non verificato;0;Roccavignale;SYSTEM;~B20~
PCFATQRWRM;44.0121;8.17854733;Attivo;108084;Non presente;Non verificato;0;Alassio;SYSTEM;~B20~
ATQBAYNAWJ;44.2050385;8.126193;Attivo;108088;Non presente;Non verificato;0;Calizzano;SYSTEM;~B20~
